Konu,Soru,Iyi_Cevap,Kotu_Cevap
Ekonomi,Ticaret açığı ne demektir?,"Bir ülkenin belli bir dönemde yaptığı ithalatın, ihracattan fazla olmasıdır. Cari açık olarak da bilinir. Sürekli yüksek açık, döviz rezervlerinin erimesi ve borçlanmaya yol açabilecek yapısal bir sorundur.","Sadece Antalya'da turistik bölgelerde yaşanan, turistlerin alışveriş sonrası eşyalarını getirememesi sorunudur."
Ekonomi,Deflasyon riski nedir?,"Genel fiyatların düşme eğilimidir. Tüketiciler gelecekte fiyatların daha da düşeceğini düşünerek harcamalarını erteleyebilir, bu da ekonomik aktiviteyi yavaşlatır. Borçlular reel anlamda borcunu ödemekte zorlanır.",Market raflarında hiç para ödemeyen müşterilerin olduğu süpermarketlerdir. Kimse kasiyerlere para vermek istemez.
Ekonomi,Kamu borcu neden önemlidir?,"Devletin kısa/uzun vadeli borçlanma senetlerinden oluşan toplamıdır. Yüksek borç, faiz ödemelerini artırarak bütçe disiplini gerektirir; finansman maliyeti artarsa kredi notunu düşürebilir ve yatırım ortamını olumsuz etkileyebilir.",Devletin elektrik faturasını ödeyememesiyle oluşur. Belediye otobüsleri bile dolmuşlara dönüşür.
Ekonomi,Bitcoin gibi kripto paraların riskleri nelerdir?,"Volatilite (ani fiyat oynaklığı), düzenleme eksikliği nedeniyle dolandırıcılık riski, enerji tüketiminin yüksek olması ve merkezi otorite desteğinden yoksun olmaları başlıca risklerdir. Değer kaybı durumunda sigortalanma imkanı sınırlıdır.","Kripto paralar, gizemli uzaylıların Dünya'daki banka hesaplarına sızmak için kullandığı teknolojik virüslerdir. Paranızı çalarlar!"
Ekonomi,Para politikası nedir?,"Merkez bankalarının para arzını, faiz oranlarını ve bankacılık düzenlemelerini yöneterek ekonomiyi istikrara kavuşturma çabalarıdır. Temel araçları açık piyasa işlemleri, reeskont faizi ve zorunlu karşılıklardır. Amaçları genellikle enflasyon kontrolü ve finansal istikrardır.",Kasalardan fiziksel kağıt para üretmek ve bunları rastgele insanlara dağıtmaktır. Fazlası varsa yere atılır.
Mitoloji,Hangi Yunan tanrısı Olimpos'un kralı ve gök gürültüsünün efendisi olarak kabul edilir?,"Zeus, Olimpos Dağı'nda hüküm süren ana tanrıdır (krater). Gök gürültüsü, şimşek ve fırtınaların tanrısıdır. Eşi Hera ile birlikte tanrısal düzenin koruyucusu olarak görülür.","Poseidon'dur, denizleri ve depremleri yönetir."
Mitoloji,"Prometheus mitolojisinde, tanrılardan hangisinin insanlara ateşi verdiği söylenir?","Titan Prometheus, tanrılardan gizlice ateş alıp insana vererek medeniyeti başlatmıştır. Cezası olarak Hephaistos tarafından Kafkas Dağları'na zincirlenmiştir.","Ateşi Hermes getirmiştir, Prometheus değil."
Mitoloji,"Thebai şehrinin kurucusu olduğuna inanılan, kaçış sırasında kızlarının dönüştüğü ağaçlardan oluşan orman efsanesindeki kahraman kimdir?","Kadmos, Thebai'nin kurucusudur. Eşi Avrupa'yı kaçırırken Zeus tarafından gergedanlara dönüştürülen kızları Harmonia adlı prensese aşık olmuştur.","Akhilleus'tur, Truva Savaşı'ndan kaçar."
Mitoloji,"Yeraltı dünyasının (Hades) kraliçesi, aynı zamanda mevsimlerin döngüsünü simgeleyen tanrıça kimdir?","Persephone, Hades tarafından yeraltına kaçırılmış ve annesi Demeter'in yasını temsil ederek kış mevsiminin sebebidir. İlkbaharda geri dönmesi baharı başlatır.","Artemis'tir, avcılık ve doğurganlıkla ilgilidir."
Mitoloji,"Atina'ya armağan ettiği meyve nedeniyle isim alan, ölümünden sonra ölümsüzlüğe kavuşan sanat tanrıçası kimdir?","Athena, Arachne'yi dokuma yarışmasında yenince kıza alay ettiğinde onu örümceğe dönüştürmüştür. Ölümünden sonra ona ""Arachne"" adı verilmiştir.","Afrodit'tir, güzellik ödülü verir; Venüs de denir."
Mitoloji,"Minotor canavarıyla savaşması için Knossos Labirenti'ne gönderilen, daha sonra labirentte kaybolan ünlü Yunan kahraman kimdir?","Theseus, Atina kralı Aegeus'un oğludur. Ariadne'nin ipliği sayesinde Minotor'u öldürmüş, ancak çıkışı unuttuğu için ip yardımıyla kurtulmuştur.","Herkül'dür (Herakles), diğer canavarları temizlemişti."
Mitoloji,"Saçları canlı yılanlardan oluşan, bakışlarıyla taşa çeviren eski bir Gorgon kimdir?","Medusa, üç Gorgon kardeşten tek ölümlüdür. Perseus tarafından kesik başı silah olarak kullanılmıştır.","Euryale'dir, diğer iki Gorgona kadar ünlü değildir."
Mitoloji,Trojan Savaşı'nda Akhilleus'un topuk bölgesinden vurularak öldüğü zayıf noktası nedir?,"""Achilles' topuğu"" tabiri, kişinin görünüşte güçlü ama tek bir zaafı olduğu anlamına gelir. Mitostaki gerçek ismi ""makhaira"" (bıçak kemiği) olup, suya daldırılarak güçlendirilmiş tek noktadır.","Kalkanıdır, Amazon kraliçesinden hediye almıştır."
Mitoloji,"Denizlerin tanrısı, tridents (üç dişli mızrak) taşıyan, salyangoz kabuğundan çıkan konutuyla bilinir?","Poseidon, denizlerin, depremlerin ve atların efendisidir. Üçlü dişi mızrağı (""triskeles"") gücünü simgeler.","Okeanos'tur, dünya çevresindeki okyanus nehriyle ilişkilidir."
Mitoloji,"Platon'un ""Kriton"" diyaloğunda ideal devlet fikrini tartıştığı ütopik ada ülkesi nedir?","Atlantis, Platon'un Sokrates aracılığıyla anlatılan kayıp bir uygarlıktır. Teknolojik gelişmişliği ve nihai yıkımı alegorik bir uyarıdır.","Lemurya'dır, bazı modern teorilerde Atlantis'in eşiti sayılır."
Astronomi,Güneş Sistemi'mizdeki en büyük gezegen hangisidir?,Jüpiter'dir. Kütlesi diğer tüm gezegenlerin toplamından daha fazladır (yaklaşık 318 Dünya kütlesi). Gaz devi sınıfındadır ve belirgin kırmızı lekesi ünlü bir fırtına sistemidir.,Venüs'tür! Çünkü gökyüzünde en parlak görünen gezegendir.
Astronomi,Samanyolu Galaksisi kaç milyar yıldır var olduğuna inanılıyor?,"Yaklaşık 13.6 milyar yıl. Evrenin yaşı kadar değil, çünkü galaksi oluşumu Big Bang'den sonra milyonlarca yıl aldı.",Sadece 5 milyar yıl! İnsanlığın varlığından beri var oldu zaten.
Astronomi,Hubble Uzay Teleskobu hangi amaçla fırlatıldı?,"Evreni kızılötesi ve görünür ışıkta derinlemesine incelemek, genişlemeyi ölçmek ve kozmoloji anlayışımızı geliştirmek için tasarlandı. 1990'dan beri çalışıyor.",Astronotlara Dünya'dan fotoğraf çekmek için verildi.
Astronomi,"Bir ""süpernova"" nedir?",Büyük kütleli bir yıldızın nükleer yakıtını tüketmesi sonucu şiddetle patlamasıdır. Bu patlama elementleri uzaya saçar ve yeni yıldız/gezegen sistemlerinin tohumunu oluşturur.,Gezegenlerin birbirine çarpmasıyla oluşan dev bir patlamadır.
Astronomi,Dünya dışında su bulunduğu kesinleşen gökcismi hangisidir?,"Mars'tır. Yüzeyinde sıvı su nehirleri, buzullar ve eski nehir yatakları NASA araçlarıyla tespit edilmiştir. Ayrıca yeraltı tuzlu suları olduğu düşünülmektedir.",Ay'da kutuplardaki kalıcı gölgelerde keşfedildi.
Astronomi,Karanlık enerji evrenin yaklaşık yüzde kaçını oluşturur?,"Yaklaşık %68. Görünür maddenin aksine genişlemeyi hızlandıran bir itici güç olduğu düşünülüyor, ancak doğası henüz bilinmiyor.",Tüm evrenin %95'ini oluşturur; geri kalan %5 bizim gördüğümüz her şeydir.
Astronomi,James Webb Uzay Teleskobu'nun ana amacı nedir?,"Evrenin ilk yıldız ve galaksilerini görmek, gezegen sistemlerini analiz etmek ve kızılötesi ışığı algılayarak toz bulutlarının arkasındaki yapıları incelemektir.",UFO'ları Dünya yörüngesinden izlemek için üretildi.
Astronomi,Jüpiter'in Büyük Kırmızı Leke'si neye benzer?,Dev bir antik çağ fırtınasıdır; saatte 600 km rüzgar hızıyla dönen oval şekilli bir girdap. 350 yıldır süregeldiği tahmin ediliyor.,Jüpiter'in yüzeyindeki devasa bir yanardağdır.
Astronomi,Ay'ın Dünya'ya bakan yüzündeki koyu renkli düz alanlara ne denir?,"Maria (Latince ""deniz"") adını alır. Volkanik bazalt lav akıntılarının soğumasıyla oluşan geniş, düz ovalerdir.",Dinozor fosillerinin düşmüş parçalarıdır.
Astronomi,Oort Bulutu neyi temsil eder?,"Güneş Sistemi'nin en dış sınırında bulunan, trilyonlarca kuyruklu yıldız çekirdeğinin oluşturduğu hipotezsel küresel bulutsudur. Yeni yıldızların oluştuğu bölgeden gelir.",Uzaylı medeniyetlerinin kullandığı süper ileri teknoloji atıklarının biriktiği yerdir.
Coğrafya,Dünyanın en yüksek dağı hangisidir?,"Everest Dağı'dır (Nepal-Çin sınırında). Deniz seviyesinden yüksekliği 8.848,86 metredir (2020 ölçümü).","K2'dir, çünkü daha zor tırmanılır."
Coğrafya,Dünya'nın en uzun nehri hangisidir?,Nil Nehri'dir (~6.650 km ile). Kaynağı Ruanda'daki Burundi Gölü'nden başlayıp Akdeniz'e dökülür.,"Amazon Nehri'dir, hem debisi hem de uzunluğu daha fazladır."
Coğrafya,Hangi ülke hem Avrupa hem Asya kıtalarında toprakları bulunan tek ülkedir?,Türkiye'dir. İstanbul'daki Boğazlar bölgesiyle iki kıtayı birbirine bağlayan köprü üzerinde yer alır.,"Rusya'dır, çünkü Sibirya Asya'dadır."
Coğrafya,Dünyanın en büyük çölü hangisidir?,Antarktika Çölü'dür (~14 milyon km²). Seraklardan dolayı neredeyse hiç yağış almaz.,"Sahra Çölü'dür, kum denizleriyle bilinir."
Coğrafya,Hangi şehir dünyaca ünlü Eyfel Kulesi'ne ev sahipliği yapar?,"Paris, Fransa'dır. Gustave Eiffel tarafından 1889'da inşa edilmiştir.","Londra, İngiltere'dir; Big Ben onunla karıştırılıyor."
Coğrafya,Hangi okyanus dünyadaki diğer tüm okyanuslardan büyüktür?,Pasifik Okyanusu'dur (~165.25 milyon km²). Toplam deniz yüzeyinin yaklaşık %46'sını kaplar.,"Atlantik Okyanusu'dur, Amerika-Avrupa arasında kalması nedeniyle daha önemlidir."
Coğrafya,Büyük Göç Dalgası sırasında ABD'ye göç edenlerin ana giriş noktası hangi limandı?,"Ellis Island, New York Limanı'ndaki bu adaydı (1892-1954). Yılda 1 milyon+ göçmeni kaydetti.","Altın Kapı, Kaliforniya'ydı; batıdan gelen madenciler için kullanılırdı."
Coğrafya,Hangi göl tatlı su rezervi bakımından dünyada ilk sıradadır?,Kaşmir Gölü (Hindistan)'dür (~1.860 m³ su kapasitesi). Suyu Himalaya erimelerinden beslenir.,Victoria Gölü (Afrika)'dür; Nil Nehri'nin kaynağıdır.
Coğrafya,İklim tipleri arasında dünya yüzölçümünün en geniş payına sahip olan hangisidir?,"Kurak iklim (çöller, yarı çöller) ~29% ile. Örnekler: Sahra, Gobi.",Tropikal yağmur ormanı iklimi; sadece Amazon'da bulunur.
Coğrafya,Hangi ada ülkesi volkanik patlamalar nedeniyle tarihte yok olmuştur?,Santorini Adası (Yunanistan). MÖ 1600 civarındaki dev patlama minos uygarlığını vurdu.,Krakatoa (Endonezya); 1883'teki patlaması dünyanın sesini geçici olarak kesmişti.
Hayvanlar Alemi,Dünyanın en büyük kara hayvanı hangisidir?,"Afrika filidir. Yetişkin boz fililer ortalama 3 metre boyunda, 6 ton ağırlığında olur ve hortumu, devasa kulakları ile tanınır.",Mavi balina. Kara hayvanı olamaz zaten!
Hayvanlar Alemi,Koalalar hangi ağacı özellikle yemeyi sever?,Ekosistemlerine özgü Akasya ağaçlarının yapraklarını tercih ederler. Bu yapraklar düşük besin değeri nedeniyle sindirimleri zor olsa da diğer türlerle rekabet etmelerini sağlar.,"Çam ağacı. Hep çam yer sanıyorum, tıpkı kutup ayıları gibi!"
Hayvanlar Alemi,Hangi deniz memelisi su altında en uzun süre nefessiz kalabilir?,Foklardır (özellikle katil fok). Uzun dalışlarda metabolizmalarını yavaşlatarak oksijeni verimli kullanır ve saatlerce dibe dalabilirler.,Yunuslar. Zaten hep yunusların dayanıklılığı övülür!
Hayvanlar Alemi,Zehirli dikenleri olan tek memeli hayvan hangisidir?,Echidna (Avustralya kertenkelesi) ve platipus'tur. Yumurtlayan memeliler arasında yer alırlar ve arka ayaklarında zehir salgılayan yapı bulunur.,Kirpi. Onların iğneleri de zehirliydi sanıyordum!
Hayvanlar Alemi,Devekuşu neden uçamaz?,"Kanat kemikleri küçülmüş, kas yapısı zayıf ve tüyler uçmaya uygun değildir. Evrim sürecinde hız koşullarına adapte olmuş, bacak gücü artmıştır.",Çok hızlı koştuğu için kanatlarına ihtiyacı yoktur. Uçar mı yani?
Hayvanlar Alemi,Timsahlar hangi özelliğe sahiptir?,Krokodil formundadırlar; dört ayak üzerinde yürüseler de kuyruklarını destek organı olarak kullanırlar ve sırtüstü devrilemezler.,Sıcakkanlıdırlar. Tüm sürüngenler sıcakkanlıdır zaten!
Hayvanlar Alemi,Penguenler nasıl yüzebilir?,"Su altında burun deliklerini kapatıp, vücut şekilleriyle hidrodinamik direnci azaltırlar. Ayakları perdeli olup kürek görevi görür.",Perde benzeri yüzgeçleri sayesinde süzülerek yüzmeye benzer. Kuşların hepsi uçamaz ama yüzebilir tabii!
Hayvanlar Alemi,Ahtapotun kaç kafası vardır?,Tek kafası vardır. Sekiz kolu ve iki kısa ön kolundan oluşan üst kısmında beyni barındıran baş bölgesi bulunur.,Sekiz kafa. Neredeyse sekiz kollu dansçı gibi düşünün!
Hayvanlar Alemi,Deniz kaplumbağaları nerede yumurtlar?,"Tamamen okyanus kıyılarındaki kumlu plajlara çıkarak yumurtlar. Yavrular yumurtadan çıktığında hemen denize koşar, yuva yapmak gibi bir davranışları yoktur.",Karada küçük mağaralarda. Suda doğum yapsalardı ıslanırlardı!
Hayvanlar Alemi,Kertenkeleler nasıl çoğalır?,Çoğu tür yumurtlayarak çoğalır. Bazıları (komodo ejderi gibi) ise yumurtaları vücudunda tutarak kuluçkaya yatırır (vivipar değil!).,"Doğurarak. Tıpkı geyikler gibi, minik kertenekeler canavarın içinde büyür!"
Mimari,"Dünyanın en büyük kubbesine sahip dini yapı olan ve tarih boyunca Bizans kilisesi, İslami cami ve müze olarak hizmet veren ikonik yapı hangisidir?","İstanbul'daki Ayasofya (Hagia Sophia)'dır. Justinianus tarafından MS 537'de inşa edilen bu yapı, dev kubbesiyle antik dünyanın mimari harikasıydı. Süleyman'ın kubbeleriyle genişletilen Osmanlı döneminde camiydi. UNESCO Dünya Mirası alanıdır ve Doğu Roma, İslam ve çağdaş mimariyi sentezler.",Vatikan'daki Aziz Petrus Bazilikası'dır. Michelangelo'nun tasarladığı muazzam kubbesi vardır.
Mimari,Paris'teki Notre Dame Katedrali hangi Avrupa mimari stilinin tipik özelliklerini sergiler?,"Gotik mimarinin zirve örneklerindendir. Sivri kemerler, kaburgalı tonozlar, payanda kulesi, gül pencereleri ve heykel süslemeleriyle tanınır. Işığı içeri taşımak için yüksekliği optimize eder.",Roma İmparatorluğu dönemine ait bir Pantheon kopyasıdır. Yuvarlak kemerli geniş girişleri ve düz çatısı belirgindir.
Mimari,Mimar Antoni Gaudí'nin Barcelona'daki neoklasik belediye binası La Casa de la Ciudad'ın çatı katındaki fantastik yaratıkları tasvir eden kısmı nedir?,"Park Güell'in ünlü mozaikli sütunlarını süsleyen ""salamanderlar""dır. Bu figürler Gaudí'nin doğa temalı, organik formlarını yansıtır ve parkın ana girişi simgesidir.",Kolomb Anıtı'nın tacını taşıyan dört denizci heykelidir. Her biri farklı kıtaları temsil eder.
Mimari,"Atina Akropolü'ndeki Parthenon Tapınağı'nın ön cephesinde bulunan, tapınağın merkezini desteklemek için kullanılan dışa doğru eğimli yatay taşı tanımlayan terim nedir?","""Göz entasis""tir. Sütunlar hafifçe şişkinleştirilerek (entasis) optik düzeltme yapılır; ayrıca ön cephe hafifçe yukarı kaldırılmıştır.",Taş bloklar arasında görünmez lazerlerle hizalama sağlanır.
Mimari,Sidney Opera Binası'nın yelken benzeri çatı kabuklarının tasarımı ve yapımı sırasında hangi mimarla çalışıldı?,"Danimarkalı mimar Jørn Utzon, yarışmayı kazandıktan sonra proje yönetimi zorlukları nedeniyle ayrılmak zorunda kaldı. Kabukların geometrik formu Ove Arup Associates mühendislerince çözüldü.","Frank Lloyd Wright, Guggenheim Müzesi'ndeki sarmal formdan esinlenerek katkıda bulundu."
Mimari,İstanbul'daki Rüstem Paşa Camii'ni diğer Osmanlı camilerinden ayıran en belirgin özellik nedir?,"İznik çinilerinin yoğun kullanımındadır. Duvarları, mihrap nişini ve minberini kaplayan 90'dan fazla farklı desen ve renk kombinasyonu, kalem işi hat sanatıyla bütünleşir.",Kubbesiz açık avlulu basit bir Selçuklu hamamıdır.
Mimari,Versay Sarayı'nın Hall of Mirrors (Aynalar Salonu) duvarlarını ve tavanını kaplayan ayna panellerinin arkasına monte edilmiş elektrikli aydınlatma sistemi ne amaçla kullanılırdı?,Ziyaretçilerin salonun ihtişamını artırmak için gerçek boyutta yanıp sönen mum ışığı efekti yaratmak üzereydi. Elektrik henüz deneysel olduğundan pratik kullanımından çok görkem vurgulanırdı.,"Bahçıvanlara gece saatlerinde yol göstermek için kullanılır, böylece kraliyet ailesi bahçelerde dolaşırken kaybolmazdı."
Mimari,Mısır piramitlerinin dış taş kaplaması genellikle neden artık görünmez durumdadır?,"Piramitler orijinalde mermer veya kireçtaşından oluşan düzgün kaplama taşlarıyla cilalanmıştı. Ancak yüzyıllar içinde yağmacılık, doğal aşınma ve rüzgar erozyonu sonucu çoğu taş sökülmüş veya dağılmıştır.",Firavunlar ölümden sonra bedenlerini korumak için piramitlerin üzerine kalıcı güneş kremi sürmek için tüm taşları kullandılar.
Mimari,"Brunelleschi'nin Floransa Katedrali'nin üzerinde inşa ettiği mekanik çan kulesinin (Campanile) üst bölümünde yer alan dairesel galeri, hangi yenilikçi mühendislik prensibini uygular?","Tek bir merkezi destek kolonunun ağırlığı taşıdığı ""sarkaç denge sistemi""ni kullanır. Galeri döşemesi çelik kablolarla aşağıdaki masif kolona bağlıdır, betonarme öncüsü sayılır.",Üzerinde dönen helikopter pervaneleri sayesinde ayakta durur.
Mimari,"Zaha Hadid'in Heybeliada'daki ""Heybeli Ada Yel Değirmeni"" projesinin mimari dilini tanımlamak için kullanılan terim nedir?","""Parametrik mimari""dir. Bilgisayar algoritmalarıyla üretilen akışkan, kesintisiz formları ve karmaşık yüzeyleri tanımlar. Geleneksel yapısal sistemlerden radikal kopuşu simgeler.",Yaprakların rüzgar yönüne göre otomatik döndüğü biyomimetik (taklit edici) bir tasarımdır.
Matematik,Pi sayısının yaklaşık değeri nedir?,"Pi sayısı (π), bir çemberin çevresinin çapına oranıdır ve irrasyonel bir sabittir. En yaygın kullanılan yaklaşımı **3.14**'tür (yani 22/7 veya 355/113 gibi daha hassas değerlerden türetilmiştir). Bilimsel hesaplamalarda genellikle 3.14159 kullanılır.","Pi sayısı 4'tür çünkü dört tane pi var! Ya da belki 0'dır, çünkü hiçbiri sonsuza kadar gitmez."
Matematik,Öklid kimdir ve neyle ünlüdür?,"Antik Yunan matematikçisi **Öklid** (MÖ 300 civarı), ""Elementler"" adlı eserle tanınır. Bu kitap, geometriyi aksiyomatik bir sistem haline getiren ve binlerce yıl standart ders kitabı olan devrim niteliğindeki çalışmadır. ""Öklid Geometrisi"" ondan isminden gelir.","Öklid, karekökleri bulan kişidir. Ya da aslında bir balıkçıydı ve geometrinin kurucusu Pisagor'dur."
Matematik,Sonsuzluk hangi matematikçi tarafından ilk kez negatif bir sayı olarak temsil edilmiştir?,"Sonsuzluk (∞) sembolünü ilk kullanan ve onu açıkça tanımlayan kişi, İtalyan matematikçi **Gottfried Wilhelm Leibniz**'dir (1686). Sembolü mektuplarında ortaya çıkarmış ve bunu sonsuz toplamları ifade etmek için geliştirmiştir.","Sonsuzluğu temsil eden sembol √ değil midir? Ya da hi-ç kimse bulmamıştır, o hep oradaydı zaten!"
Matematik,Fibonacci dizisinde altıncı terim nedir?,"Fibonacci dizisi, her sayının kendinden önceki iki sayının toplamı olduğu bir dizidir (genellikle 0 ve 1 ile başlar): 0, 1, 1, 2, 3, 5, **8**, 13, 21... Altıncı terim **8**'dir. Dizide indeksleme sıfırdan başladığında üçüncü terimdir.","Fibonacci'nin sadece üç terimi vardır: 1, 1, 2. Zaten hepsi bunlardan oluşur! Ya da ilk terim 1 olduğunda altıncı terim 13'tür, karıştırdım galiba."
Matematik,"Zeno'nun ""Ok Paradoksu""nu çözmek için kullanılan modern matematik yöntemi nedir?","Zeno'nun paradoksu (hareketsiz ok), limit kavramıyla çözülür. Sürekli artan ancak sonlu bir limite yakınsayan seriler incelenerek, örneğin ulaşılacak noktanın yarısına, sonra yarısının yarısına gidildiğinde nihayetinde hedefe ulaşmanın mümkün olduğu gösterilir. Bu, **limit ve sonsuz serilerin** gücünü ortaya koyar.","Çözümü basittir; okun hızı saatte ışık hızından fazladır, bu yüzden zaman yoktur! Ya da hareket illüzyondur, gerçek değildir."
Matematik,Eşitkenar dik üçgende hipotenüsün kenarlarla oranı nedir?,"Kenar uzunluğu \( a \) olan eşkenar dik üçgende (dik açılı ve tüm kenarları eşit değil, bacakları eşit), hipotenüs Pisagor Teoremi'ne göre \( a\sqrt{2} \) olur. Dolayısıyla hipotenüsün bir dik kenara oranı **\(\sqrt{2}\)**'dir.","Hipotenüs asla kenarlardan büyük olamaz, yani oran 1'den küçüktür. Ya da daire içinde çizilen en kısa yol olduğu için hipotenüse bölünmelidir, oran π'dir!"
Matematik,Logaritmanın mucidi kimdir ve hangi problemi çözmek için icat etti?,"İskoç matematikçi ve astronom **John Napier** (1614), logaritmayı karmaşık üstel hesaplamaları kolaylaştırmak için icat etti. Özellikle denizcilikte seyir hesaplarında ve astronomik tabloların derlenmesinde kullanılmak üzere tasarladı. Büyük sayıları çarpma ve bölmeyi basitleştirdi.",Logaritmayı Descartes icat etti. Problem olarak da x² + y² = r² denklemini çözmekti! Ya da tamamen müzikteki ses perdesiyle ilgiliydi.
Matematik,Bir çemberin çevresi ile alanı arasındaki ilişkiyi veren sabit nedir?,"Bir çemberin **çevresi \( C = 2\pi r \)**, **alanı \( A = \pi r^2 \)**'dir. Buradan, \( \frac{C}{2\pi} = r \) ve \( r = \sqrt{\frac{A}{\pi}} \) olur. Ancak doğrudan bir sabit aranıyorsa, \( \frac{C^2}{\pi A} = \frac{(2\pi r)^2}{\pi (\pi r^2)} = \frac{4\pi r^2}{\pi^2 r^2} = \frac{4}{\pi} \approx 1.273\) bulunur.",Çevre ve alan aynı birimle ölçülmediği için karşılaştırılamaz. Sabit diye bir şey yoktur! Ya da sabit e'dir (Euler sayısı).
Matematik,"Gauss'un ""Galile'nin Yanılgısı"" dediği şey nedir?","Carl Friedrich Gauss, Galileo Galilei'nin yaptığı gözleme atıfta bulunarak bu terimi kullandı. Galilée, Jüpiter'in uydularının hareket sürelerinin karesi ile gezegenden uzaklığın küpleri arasındaki ilişkinin yaklaşık doğrusallığını keşfetmişti. Ancak bunun Kepler'in ikinci yasası (karelerle orantı) ile tam uyumlu olmadığını fark etti. Gauss, bu tutarsızlığı **gezegen yörüngelerinin mükemmel küresel simetriden sapması**na (eksantriklik) bağladı.","Gauss, Galile'nin teleskopla Ay yüzeyindeki dağları gördüğünde şaşırdığını söyler. Ya da yanılgı, Dünya'nın merkez olmamasıydı!"
Matematik,Ünlem işareti (!) neden bazen kesirlerde kullanılır?,"Kesirlerde ünlem işareti (!), **Faktöriyel** anlamına gelir. n! (n faktöriyel), 1'den n'ye kadar olan tüm pozitif tam sayıların çarpımıdır (örn., 5! = 5 × 4 × 3 × 2 × 1 = 120). Bu notasyon Blaise Pascal ve anaknya Pierre de Fermat tarafından popülerleştirilmiştir.","Ünlem işareti, kesrin tamamlandığını gösterir, yani sonuç budur demektir! Ya da eski metinlerde hayret ifadesiydi, şimdi matematiksel önemi var."
Gastronomi,Dünyaca ünlü Fransız mutfağı soslarından biri olan *béarnaise* hangi ana malzemeden yapılır?,"Béarnaise sosu, geleneksel beş klasik Fransız sosundan (""anne sauces"") biridir. Temelini **yumurta sarısı** oluşturur; tereyağının yavaşça çırpılmasıyla emülsiyon haline getirilir, ardından beyaz şarap sirkesi ve ince çekilmiş tuz ile pişirilir. Hardal tozu ve taze kekik ile aromalandırılır.",Béarnaise sosunun ana malzemesi **domates püresidir**. Tereyağını kaynatıp üzerine dökerek yapılır.
Gastronomi,Türkiye'nin UNESCO Somut Olmayan Kültürel Miras Listesi'ndeki yemek kültürü hangisidir?,"Listede yer alan miras, **""Yöresel Mutfak Geleneği: Gaziantep Baklavası Üretim ve Sunum Kültürü""**dür. Bu, baklavanın Antep fıstığı, özel hamur katlama tekniği (*sırık*) ve kesme şekliyle ilgili nesiller boyu aktarılan ustalık gerektiren üretim süreçlerini kapsar.","UNESCO listesindeki yemek kültürü **""İstanbul Simidi Yapımı ve Satışı""**dır. Sadece susam kullanılarak fırında pişirilir."
Gastronomi,Geleneksel İtalyan peynirlerinden Parmigiano Reggiano'nun uluslararası adı nedir?,"Parmigiano Reggiano, kuzey İtalya'nın Emilia-Romagna bölgesinde yapılan, korumalı menşe adıyla (PDO) tanınan sert bir peynirdir. Uluslararası arenada genellikle **Parmesan** olarak anılır. Ancak aslen İtalyanca *""Gran Padano""* olarak da bilinen rakibi vardır.",Parmigiano Reggiano'nun uluslararası adı **Mozzarella**'dır. Napoli pizzasında kullanılır.
Gastronomi,Sushi'nin pirinç kısmına ne ad verilir ve içinde hangi temel malzeme bulunur?,"Sushide pirinç, özel şekerli ve sirkeli suyla pişirilerek hazırlanır. Bu karışımın kendisine **sushi pirinci** denir. Temel malzeme, balık, deniz ürünleri veya sebzelerle birlikte servis edilen **hanedeki vinegar (sirke)** tadını veren **şari (pirinç sirkesi)** ve **miyakozu (deniz yosunu özü)** ile tatlandırılmış pilavdır.","Pirinç kısmına **""nori""** denir ve içinde **çiğ balina eti** bulunur."
Gastronomi,Meksika mutfağının sembolü acı biber çeşidi *jalapeño*'nun karakteristik özelliği nedir?,"Jalapeño, orta derecede acılığa sahip (Scoville: 2.500–8.000), yeşil renkli, dolgulu dolmalık biber türüdür. Olgunlaştığında kırmızılaşır ve genelde turşu (*cornichons jalapeños*) olarak tüketilir. Meksika'nın en ikonik biberidir.",Jalapeño'nun karakteristiği **tatlı olması** ve **Türkiye'de yetiştirilmesidir**. Çorbalara eklenir.
Gastronomi,Fransız mutfağındaki *roux* (roux) nedir ve hangi kıvamı verir?,"Roux, eşit miktarda un ve yağın (genellikle tereyağı veya sıvı yağ) renk almadan kavrulmasıyla oluşan koyu kremaya benzer bir karışımdır. Sosların temel kalınlaştırıcısıdır. Yağın rengi (*beyaz roux*: berrak, *sarı roux*: hafif altın, *kahverengi roux*: çikolata tonu) nihai sosun rengini ve kıvamını belirler.","Roux, doğranmış soğan ve sarımsaktan oluşan bir sebze karışımıdır. Çorbalara berraklık verir."
Gastronomi,Dünya çapında ün kazanan ilk kadın şef kimdir ve hangi eserini 1951'de yayınlamıştır?,"Julia Child, Amerikan şef, yazar ve televizyon sunucusudur. Fransız mutfağını popülerleştirmesiyle tanınır. İlk kitabı **""Mastering the Art of French Cooking""** (Fransız Mutfağının Sanatında Ustalaşmak), 1961'de basılmıştır. 1951'deki eseri ise kişisel günlüğüdür.","İlk kadın şef **Marie Antoinette**'tir. Yayınladığı kitap **""Kralın Pasta Tarifleri""**dir."
